Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 7, 11]",1.167678595,831,1242.800049,70.37999725,15.73200035,430.0740051,0.0089255,24700.44922,6228.810059,0,0
"[2018, 7, 12]",1.166588902,842.2999878,1245,70.33000183,15.89799976,434.0270081,0.008892,24924.89063,6238.049805,0,0
"[2018, 7, 13]",,826.2000122,1239.599976,71.01000214,15.73900032,,0.008903,25019.41016,6276.120117,0,0
"[2018, 7, 15]",1.167910457,832.2000122,,,,480.657959,,,6741.75,0,0
"[2018, 7, 16]",1.170946479,822.2999878,1238.099976,68.05999756,15.73499966,501.0019836,0.008903,25064.35938,7321.040039,0,0
"[2018, 7, 17]",1.165324688,815.7999878,1225.699951,68.08000183,15.54599953,480.5130005,0.008878,25119.89063,7370.779785,0,0
"[2018, 7, 18]",1.16456461,813.7000122,1226.300049,68.76000214,15.50300026,469.6190186,0.0088765,25199.28906,7466.859863,0,0
"[2018, 7, 19]",1.165514708,800.5999756,1222.400024,69.45999908,15.34000015,450.6979675,0.008905,25064.5,7354.129883,0,0
"[2018, 7, 20]",,823.5999756,1229.5,70.45999908,15.48999977,,0.0089785,25058.11914,7419.290039,0,0
"[2018, 7, 22]",1.174191236,831.2999878,,,,450.8529968,,,7711.109863,0,0
"[2018, 7, 23]",1.169412851,825.7999878,1224,67.88999939,15.36800003,479.3729858,0.0089825,25044.28906,8424.269531,0,0
"[2018, 7, 24]",1.168551922,829.5999756,1223.900024,68.51999664,15.4630003,472.493042,0.0090035,25241.93945,8181.390137,0,0
"[2018, 7, 25]",1.173750281,833.7999878,1231.400024,69.30000305,15.53299999,464.0369873,0.0090335,25414.09961,7951.580078,0,0
"[2018, 7, 26]",1.164293408,832.4000244,1225.300049,69.61000061,15.43799973,469.6659851,0.0089995,25527.07031,8165.009766,0,0
"[2018, 7, 27]",,826.4000244,1222.599976,68.69000244,15.43599987,,0.0090185,25451.06055,8192.150391,0,0
"[2018, 7, 29]",1.166044831,832.5999756,,,,457.0810242,,,8180.47998,0,0
"[2018, 7, 30]",1.170740843,826.5999756,1221.300049,70.12999725,15.47500038,433.8669739,0.009016,25306.83008,7780.439941,0,0
"[2018, 7, 31]",1.168961763,840.9000244,1223.699951,68.76000214,15.5,420.7470093,0.0089495,25415.18945,7624.910156,0,0
"[2018, 8, 1]",1.166588902,812.4000244,1217.900024,67.66000366,15.39400005,412.6209717,0.008971,25333.82031,7567.149902,0,0
"[2018, 8, 2]",1.158600807,823.4000244,1210.599976,68.95999908,15.32900047,418.2619934,0.0089585,25326.16016,7434.390137,0,0
"[2018, 8, 3]",,832.0999756,1214.199951,68.48999786,15.40600014,,0.0089935,25462.58008,7032.850098,0,0
"[2018, 8, 5]",1.156229734,834.9000244,,,,406.6579895,,,6951.799805,0,0
"[2018, 8, 6]",1.155802131,821.5,1208.599976,69.01000214,15.29199982,380.2149963,0.0089805,25502.17969,6753.120117,0,0
"[2018, 8, 7]",1.160294652,826.5999756,1209.599976,69.16999817,15.31700039,356.6129761,0.0089785,25628.91016,6305.799805,0,0
"[2018, 8, 8]",1.161076069,824.7000122,1212.599976,66.94000244,15.3760004,365.5880127,0.0090145,25583.75,6568.22998,0,0
"[2018, 8, 9]",1.152392387,829.2999878,1211.900024,66.80999756,15.41899967,334.1759949,0.009007,25509.23047,6184.709961,0,0
"[2018, 8, 10]",,824.7999878,1211.099976,67.62999725,15.26599979,,0.009041,25313.14063,6295.72998,0,0
"[2018, 8, 12]",1.139471292,830.5999756,,,,286.4949951,,,6297.569824,0,0
